SITE_ID,SysID,SiteName,NE_ID,NE_Name,FE_ID,FE_Name,HOP_ID_ DETAIL
TJN047,TJN047MG1,Air Kalah,TJN047,Air Kalah,TJN016,Pelepat Putih,TJN047<>TJN016_Ipaso200_TELKOMSEL_50_14529
TJN047,TJN047MG1,Air Kalah,TJN016,Pelepat Putih,TJN011,Sijuk,TJN016<>TJN011_IPASO400_TELKOMSEL_150_7732.875
TJN047,TJN047MG1,Air Kalah,TJN011,Sijuk,TJN004,Bukit Brahu,TJN011<>TJN004_IPASO400_TELKOMSEL_50_7955.25
TJN047,TJN047MG1,Air Kalah,TJN004,Bukit Brahu,TJN002,Tanjung Pandan II,TJN004<>TJN002_IPASO400_TELKOMSEL_150_7687
TJN053,TJN053MG1,Suak Gual,TJN053,Suak Gual,TJN014,TJN014MG1_TSEL_PulauNasik,TJN053<>TJN014_Ipaso200_Telkomsel_50_7135
TJN053,TJN053MG1,Suak Gual,TJN014,Pulau Nasik,TJN012,Tanjung Pandan 3,TJN014<>TJN012_MLTN_TELKOMSEL_100_7296
TJN053,TJN053MG1,Suak Gual,TJN012,Tanjung Pandan 3,TJN002,Tanjung Pandan II,TJN012<>TJN002_IPASO400_Telkom_50_12751
TJN054,TJN054MD1,Depati Rahat ,TJN054,Depati Rahat ,TJN049,Simpang Taman Pandan,TJN054<>TJN049_Ipaso200_TELKOMSEL_150_23562
TJN054,TJN054MD1,Depati Rahat ,TJN049,Simpang Taman Pandan,TJN002,Tanjung Pandan II,TJN049<>TJN002_Ipaso200_TELKOMSEL_100_14557
TJN065,TJN065MG1,PULAU SELIU,TJN065,PULAU SELIU,TJN010,Membalong,TJN065<>TJN010_IPASO400_Telkom_50_7554
TJN065,TJN065MG1,PULAU SELIU,TJN010,Membalong,TJN008,Pangkal dudat rep,TJN010<>TJN008_IPASO400_TELKOMSEL_150_7491
TJN065,TJN065MG1,PULAU SELIU,TJN008,Pangkal dudat rep,TJN012,Tanjung Pandan 3,TJN008<>TJN012_IPASO400_TELKOMSEL_150_7603
TJN065,TJN065MG1,PULAU SELIU,TJN012,Tanjung Pandan 3,TJN002,Tanjung Pandan II,TJN012<>TJN002_IPASO400_Telkom_50_12751
TJN067,TJN067MG1,Desa Kepicut,TJN067,Desa Kepicut,TJN011,Sijuk,TJN067<>TJN011_IPASO400_Telkom_50_7359
TJN067,TJN067MG1,Desa Kepicut,TJN011,Sijuk,TJN004,Bukit Brahu,TJN011<>TJN004_IPASO400_TELKOMSEL_50_7955.25
TJN067,TJN067MG1,Desa Kepicut,TJN004,Bukit Brahu,TJN002,Tanjung Pandan II,TJN004<>TJN002_IPASO400_TELKOMSEL_150_7687
