Site ID,Site Name,Longitude,Latitude
BKL119,KEBUN GERAN,102.261,-3.79452
BKL120,BELAKANG PONDOK,102.272,-3.78906
BKL121,BUMI AYU 1,102.321,-3.85284
BKL123,SURABAYA 2,102.323,-3.79231
BKL124,PANTAI JAKAT,102.261,-3.78325
BKL125,SUPRATMAN 2,102.279,-3.76967
BKL126,AIR SEBAKUL 2,102.333,-3.83029
BKL128,SUNGAI SERUT 2,102.305,-3.78738
BKL132,RS TIARA SELLA BENGKULU,102.271,-3.80067
BKL135,STADION SAWAH LEBAR,102.274,-3.7926
BKL138,PONDOK KUBANG 2,103.038,-1.791
BKL145,KAMPUNG CINA,102.249,-3.78914
BKO001,MERANGIN,102.275,-2.06431
BKO002,PAMENANG,102.523,-2.11869
BKO003,MERANGIN 2,102.274,-2.07164
BKO004,MERANGIN 3,102.281,-1.99509
BKO005,KRESNA DUTA,102.481,-2.07881
BKO006,MARGOYOSO,102.3,-1.87806
