BDL106,JALAN MALAHAYATI,105.266,-5.44857
BDL107,PAHOMAN,105.271,-5.43
BDL108,W A RAHMAN,105.186,-5.41829
BDL109,PANGERAN EMIR,105.248,-5.43218
BDL110,KUPANGTEBA,105.265,-5.44082
BDL111,PASAR PANJANG,105.321,-5.46228
BDL112,BADARUDDIN,105.231,-5.39824
BDL113,LABUHAN DALAM BDL,105.24,-5.35134
BDL114,GRIYA SEJAHTERA,105.24,-5.38652
BDL115,SINGKEP,105.315,-5.39053
BDL116,GANG KENANGA,105.278,-5.36719
BDL117,WAY HUWI,105.294,-5.35887
BDL118,TANJUNG BARU BDL,105.28,-5.40962
BDL119,SMU 5,105.249,-5.38631
BDL120,WAY LUNIK,105.311,-5.45556
BDL121,SUKABUMI,105.318,-5.4075
BDL123,TELUK SEMANGKA,105.258,-5.45417
BDL124,RAJA RATU,105.261,-5.36949
BDL125,AMIR HAMZAH LAMPUNG,105.254,-5.42661
BDL126,CENDANA LAMPUNG,105.228,-5.39239
BDL127,KELENGKENG,105.231,-5.40522
BDL129,PULAU TAMBUNAN,105.277,-5.38613
BDL131,IRING MULYO,105.258,-5.44931
BDL132,TEUKU CIK DITIRO,105.205,-5.39864
BDL134,PELITA LAMPUNG,105.252,-5.38223
BDL136,GEDONG MENENG,105.236,-5.37135
BDL137,UNTUNG SUROPATI,105.256,-5.36419
BDL138,BUMI MANTI,105.249,-5.36998
BDL140,TJ KARANG BARAT,105.238,-5.37904
BDL142,SUMUR PUTRI,105.251,-5.43623
BDL143,PUTRA DEWA,105.247,-5.4542
BDL144,CENDANA BASRI,105.273,-5.36468
BDL145,WAY DADI,105.29,-5.37671
BDL146,PULAU SINGKEP,105.3,-5.39135
BDL147,RADEN GUNAWAN,105.216,-5.36211
BDL148,SEGALA MIDER,105.233,-5.39234
BDl149,AGUS SALIM LAMPUNG,105.251,-5.41204
BDL150,PINANG JAYA,105.198,-5.3901
BDL151,VILLA CENDANA,105.222,-5.3831
BDL152,BKP LAMPUNG,105.21,-5.37652
BDL153,AIR MINUM TRIPANCA,105.202,-5.42931
BDL154,MURAI KEMILING,105.198,-5.3901
BDL155,JAGABAYA LAMPUNG,105.271,-5.39361
BDL156,GAMASERA LAMPUNG,105.267,-5.42311
BDL157,WAY LIMUS,105.212,-5.371
BDL158,RANDU LAMPUNG,105.219,-5.38992
BDL159,SISINGAMARAJA BDL,105.24,-5.40646
BDL161,MONGINSIDI BDL,105.253,-5.43088
BDL162,PAKUWON BDL,105.254,-5.44512
BDL163,TAMRIN BDL,105.258,-5.42511
BDL164,WARSITO BDL,105.261,-5.43918
BDL165,KEBUN JERUK BDL,105.263,-5.40864
BDL166,HARUN BDL,105.267,-5.41473
BDL167,ABDUL HAQ,105.238,-5.36926
BDL170,ENDRO SURATMIN,105.289,-5.39015
BDL171,ANTASARI BDL,105.283,-5.4028
BDL172,SULTAN AGUNG,105.276,-5.38215
BDL173,SUKARDI HAMDANI,105.245,-5.38
BDL174,AHMAD DAHLAN,105.273,-5.44106
BDL175,KEMUNING LAMPUNG,105.263,-5.35194
BDL176,BW PANJANG,105.303,-5.44522
BDL177,TEUKU UMAR,105.252,-5.40949
BDL178,MARTADINATA BDL,105.249,-5.4808
BDL179,LINGSUH BDL,105.249,-5.35236
BDL180,DARUSSALAM BDL,105.236,-5.40146
BDL181,ALUN LAMPUNG,105.226,-5.3715
BDL182,JALAN NANGKA BDL,105.269,-5.37253
BDL183,CUT NYAK DIEN BDL,105.253,-5.4185
BDL184,RAJABASA 2 BDL,105.229,-5.36453
BDL185,DIPONEGORO 2 BDL,105.265,-5.43737
BDL186,TIDORE LAMPUNG,105.265,-5.40064
BDL187,PUSKESMAS PANJANG,105.322,-5.46938
BDL188,BUKIT RANDU BDL,105.264,-5.41172
BDL191,ABUNG JAYA BDL,105.242,-5.3599
BDL192,KOMARUDIN BDL,105.239,-5.35553
BDL193,TELUK BONE BDL,105.254,-5.45696
BDL194,RS ADVENT BDL,105.262,-5.39208
BDL195,IMAM BONJOL 2 BDL,105.248,-5.4089
BDL196,SIMPANG MONGONSIDI BDL,105.251,-5.42272
BDL197,KATAMSO BDL,105.256,-5.41357
BDL200,LAYUR BDL,105.265,-5.44625
BDL201,KEDAMARAN BDL,105.317,-5.39983
